USE_YM,USE_HM,FDRCT_VLD_KWH
20220628,0100,4794344.69
20220628,0200,4381046.461
20220628,0300,4155855.437
20220628,0400,3318638.251
20220628,0500,3195215.62
20220628,0600,5013394.07
20220628,0700,4722927.336
20220628,0800,5559684.682
20220628,0900,6502352.721
20220628,1000,6338563.55
20220628,1100,7495569.573
20220628,1200,6820985.478
20220628,1300,7578832.311
20220628,1400,7541057.836
20220628,1500,6865540.5430000005
20220628,1600,7525275.35
20220628,1700,7329649.684
20220628,1800,7289632.07
20220628,1900,6221343.993
20220628,2000,6622154.857
20220628,2100,7340126.556
20220628,2200,5885133.017
20220628,2300,4640942.059
20220628,2400,4141910.067
20220629,0100,4783156.987
20220629,0200,4331100.746
20220629,0300,4159616.016
20220629,0400,4057341.392
20220629,0500,3996991.1489999997
20220629,0600,4276590.724
20220629,0700,4689241.192
20220629,0800,4850369.481
20220629,0900,6563883.346
20220629,1000,7141508.582
20220629,1100,7550009.46
20220629,1200,7381434.235
20220629,1300,7472828.919
20220629,1400,6648830.071
20220629,1500,7450367.4404
20220629,1600,7347403.739
20220629,1700,7464231.497
20220629,1800,7225624.653
20220629,1900,6920744.301
20220629,2000,6620824.815
20220629,2100,5544134.24
20220629,2200,5019049.658
20220629,2300,4564956.695
20220629,2400,5112428.452
20220630,0100,4383845.907
20220630,0200,3264265.887
20220630,0300,3948290.045
20220630,0400,2844335.2800000003
20220630,0500,3855023.107
20220630,0600,3825636.96
20220630,0700,4137017.714
20220630,0800,5045931.384
20220630,0900,4713981.847
20220630,1000,6100782.114
20220630,1100,6381531.26
20220630,1200,6346615.885
20220630,1300,5513008.898
20220630,1400,7305054.469
20220630,1500,6283558.553
20220630,1600,6252222.123
20220630,1700,6137994.061
20220630,1800,6100976.849
20220630,1900,5822764.376
20220630,2000,4963963.03
20220630,2100,5325843.459
20220630,2200,4941089.076
20220630,2300,4775871.839
20220630,2400,3695381.405
20220701,0100,4634246.48
20220701,0200,4435044.869
20220701,0300,4849805.228
